BENCHMARK;PAPI_L1_DCM;PAPI_L1_ICM;PAPI_L2_DCM;PAPI_TLB_DM;PAPI_TLB_IM;PAPI_HW_INT;PAPI_BR_MSP;PAPI_TOT_INS;PAPI_LD_INS;PAPI_SR_INS;PAPI_BR_INS;PAPI_TOT_CYC;PAPI_L1_DCA;PAPI_L2_DCA;HILOS;POWER
CFD;8984333;366747;5397;70;33;53026;3684393;1109916118;253229972;55179277;65675121;1995493697;313387453;18635345;4;2382.09
HEARTWALL;2571378;72645;232181;2794;105;19062;10363246;1324260707;475156115;4860874;268408261;1445623229;481408676;9490955;4;2833.65
HOTSPOT;4505773;23325;2170959;28653;439;101;668372;190308242;59127849;8695257;12057818;555223714;68438332;9041341;4;2597.28
HOTSPOT3D;16006136;188264;14961267;243521;2626;936;175093;3258760305;896380580;53237922;217669087;4511132580;950795067;49968002;4;2734.49
KMEANS;72951;12494;64246;898;59;740;216234;33298326;10792412;963741;5524641;53600718;11857696;203511;4;2603.80
LAVAMD;28074;28844;5321;78;47;90;126744;258223819;92213199;18056946;28754494;431261988;118438348;107146;4;2365.47
LUD;251582;5194;42530;225;20;93;122738;37361006;15735510;2926821;1851118;39891888;18707303;493206;4;2789.07
NN;82299;408577;37581;174;56;9449;498871;43863570;8845937;4253435;7124892;57194622;17169762;665830;4;2545.60
NW;1718525;24900;1309131;494660;3921;712;186593;98362832;21007179;14683354;9067848;224529253;41092698;3472549;4;2745.37
SRADV1;18659894;137618;5890154;31809;2030;26415;175780;664841007;142054674;35266185;46020707;1917335690;184620252;39683522;4;2541.77
SRADV2;8080027;30490;1619592;27398;313;136;10695;184673777;43363815;12671072;8848982;660691303;57398790;16190928;4;2575.69
PARTICLEFILTER;317539;23256;122540;1021;133;3769;152570;395535323;50714946;2183166;88979379;361192934;50012751;3066518;4;2443.35
PATHFINDER;120681;20763;472880;3040;157;145;1652395;183162678;74367929;12446099;27707094;269897592;86671075;1000180;4;2514.11
BT;1883270;231867;2184742;5103;1058;9420;154539;143773439;60856710;30173381;2688212;389963796;92288962;7683612;4;2898.63
CG;972699;38660;1248007;56;13;4212;209843;62060305;25389444;925913;9014268;141710055;26822101;4605169;4;3066.72
EP;156846;62423;2146873;645;102;309;2933015;832779650;165184479;32534825;56410357;1723905150;217791237;4461909;4;2481.62
FT;1702433;62445;693436;44347;532;2697;441363;119303323;25825971;20456510;7062303;174864225;46617996;7053296;4;3048.70
IS;5139;514;1340;12;7;15;760;2054977;509176;222289;412556;2779070;784869;55689;4;2789.60
MG;51140;4037;43652;47;12;438;20733;6448871;2372601;526574;442492;10311788;2916057;219084;4;2922.40
SP;2275536;172920;198158;582;143;16484;535421;141878834;31304257;12298209;20154775;219374284;47313818;5297520;4;2660.28





