BENCHMARK;PAPI_L1_DCM;PAPI_L1_ICM;PAPI_L2_DCM;PAPI_TLB_DM;PAPI_TLB_IM;PAPI_HW_INT;PAPI_BR_MSP;PAPI_TOT_INS;PAPI_LD_INS;PAPI_SR_INS;PAPI_BR_INS;PAPI_TOT_CYC;PAPI_L1_DCA;PAPI_L2_DCA;HILOS;POWER
B+TREE;1911501;111597;2667407;344234;2269;492;928352;2357128962;432255049;1075061;364956737;2872273488;552079848;8962562;4;3193.61
CFD;7670666;294193;4511;79;43;23585;3603752;1132865753;255917917;54819506;71544204;1987070001;314885918;15446625;4;3175.81
HEARTWALL;3172743;70489;211754;2756;98;19657;10373422;1325614001;475289061;4805926;268780896;1452671786;481616815;11748978;4;3566.77
HOTSPOT;5206033;24308;2172638;28559;461;104;668997;190319785;59129773;8696429;12059567;566866421;68447730;10422558;4;3357.65
HOTSPOT3D;15172826;286843;15036684;253967;3820;60791;553690;3220787356;893790208;56473187;205962545;4492502304;958575168;48614308;4;3429.51
KMEANS;326416;15171;289816;4652;93;3526;1035018;162675475;52904194;4521594;27008921;259354995;57605144;895693;4;3390.44
LAVAMD;930220;1602384;349047;1118;120;150242;4130535;6591245957;2355741477;467500000;730476177;11100447726;3046819172;3915981;4;3263.66
LUD;279076;6861;42888;217;23;627;125362;36407101;15619723;2933745;1609731;39819668;18632630;548581;4;3428.13
NN;78392;435097;37092;74;32;8555;493440;43563536;8801716;4240859;7055477;56757943;17081185;610249;4;3330.04
NW;1724525;32105;1307296;492774;4143;789;188343;96767655;20809301;14685192;8668666;223708964;40994222;3492435;4;3521.55
SRADV1;21962447;126424;5883104;33548;1494;627;115451;681909424;144129386;35051521;50329472;1941917067;185462206;45673064;4;3289.09
SRADV2;11123537;27532;1611413;27394;308;135;10212;182500378;43092306;12672677;8304388;707129067;57203047;22231716;4;3370.71
PARTICLEFILTER;250879;22272;123019;955;135;127;135455;303277766;39158797;2125060;65936188;287817554;42661403;847500;4;3168.26
PATHFINDER;120955;21757;466663;3161;136;148;1651018;181518705;74159109;12441985;27299467;268357494;86566060;1007647;4;3317.73
BT;1704469;96957;2160769;3642;444;1329;88491;153309017;61721019;29683776;5397656;384391264;91737859;7149251;4;3575.98
CG;811402;14021;1195878;57;9;673;184433;67945595;25981563;706800;10631764;138563763;26727370;4275566;4;3751.04
EP;363343;75067;2153639;627;111;376;2935141;832825827;165199447;32547924;56412359;1727916725;217832579;4829104;4;3208.23
FT;1728644;25791;702260;44522;483;2641;419246;121355760;25969924;20312013;7681730;173304933;46578205;6453037;4;3760.90
IS;4748;497;1779;21;7;12;681;1621044;454967;222337;304060;2359622;784531;56312;4;3478.40
MG;52074;2679;43972;57;16;286;19726;6221734;2343394;524585;386470;9970989;2916627;214743;4;3690.80
SP;2311416;175791;265652;217;60;20267;551915;136298545;30684879;12448995;18660850;218552246;47219158;5385458;4;3492.39
